id,code_name,name,rarity,type,offers,picks,pick_rate,picked_runs,picked_wins,picked_win_rate,not_picked_runs,not_picked_win_rate,control_delta,median_pick_floor,deck_runs,deck_win_rate,latest_offers,latest_picks,latest_pick_rate,latest_picked_runs,latest_win_rate
MGR_MOD_CARD_FUTARIBOSHI,Futariboshi,两个人的星,Common,Skill,1730,399,0.230635838150289,363,266,0.7327823691460055,553,0.6817359855334539,0.05104638361255154,15,433,0.7043879907621247,651,125,0.19201228878648233,115,0.7652173913043478
MGR_MOD_CARD_IMPROVISE,Improvise,即兴,Common,Attack,1793,218,0.12158393753485779,199,138,0.6934673366834171,731,0.7017783857729138,-0.008311049089496758,11.0,238,0.680672268907563,652,74,0.11349693251533742,71,0.7464788732394366
MGR_MOD_CARD_CHORUS,Chorus,合唱,Common,Skill,1823,251,0.13768513439385627,215,152,0.7069767441860465,726,0.6955922865013774,0.011384457684669114,19,257,0.7003891050583657,644,82,0.12732919254658384,71,0.676056338028169
MGR_MOD_CARD_NIGHT_WALKER,NightWalker,夜行少女,Common,Attack,1788,215,0.12024608501118568,157,113,0.7197452229299363,768,0.69921875,0.020526472929936257,19,188,0.6861702127659575,625,72,0.1152,48,0.7083333333333334
MGR_MOD_CARD_TINY_STAR_IMPACT,TinyStarImpact,幼星冲击,Common,Attack,1815,470,0.25895316804407714,409,278,0.6797066014669927,533,0.7185741088180112,-0.038867507351018515,11.0,483,0.6625258799171843,673,185,0.274888558692422,157,0.6942675159235668
MGR_MOD_CARD_GHOST_RULE,GhostRule,幽灵法则,Common,Skill,1728,184,0.10648148148148148,156,107,0.6858974358974359,762,0.7020997375328084,-0.016202301635372507,19.0,197,0.6852791878172588,645,65,0.10077519379844961,52,0.5961538461538461
MGR_MOD_CARD_SPRING_STORM,SpringStorm,春岚,Common,Skill,1828,402,0.21991247264770242,324,225,0.6944444444444444,630,0.6857142857142857,0.0087301587301587,19.0,380,0.7052631578947368,673,139,0.2065378900445765,113,0.7256637168141593
MGR_MOD_CARD_FINAL_SHOT,FinalShot,最后一拍,Common,Attack,1778,113,0.06355455568053993,109,61,0.5596330275229358,813,0.7195571955719557,-0.15992416804902,6,135,0.5407407407407407,633,42,0.06635071090047394,39,0.5384615384615384
MGR_MOD_CARD_GAZE,Gaze,注视,Common,Attack,1799,61,0.0339077265147304,57,39,0.6842105263157895,870,0.6931034482758621,-0.00889292196007263,13,86,0.6627906976744186,672,26,0.03869047619047619,24,0.7916666666666666
MGR_MOD_CARD_DAZZLING,Dazzling,炫目,Common,Attack,1786,231,0.12933930571108623,225,150,0.6666666666666666,707,0.7086280056577087,-0.04196133899104204,11,270,0.6592592592592592,652,82,0.12576687116564417,82,0.6829268292682927
MGR_MOD_CARD_LIGHT_UP,LightUp,点亮舞台,Common,Attack,1845,193,0.1046070460704607,184,114,0.6195652173913043,761,0.7201051248357424,-0.10053990744443808,8,220,0.6409090909090909,672,78,0.11607142857142858,74,0.5675675675675675
MGR_MOD_CARD_EVERYDAY_MIRACLES,EverydayMiracles,点滴奇迹,Common,Skill,1791,609,0.34003350083752093,488,331,0.6782786885245902,440,0.7386363636363636,-0.06035767511177348,13,563,0.6838365896980462,660,215,0.32575757575757575,165,0.7151515151515152
MGR_MOD_CARD_SACRIFICE,Sacrifice,献祭,Common,Skill,1849,461,0.24932395889670092,392,277,0.7066326530612245,563,0.6998223801065719,0.00681027295465253,15,455,0.7076923076923077,670,164,0.24477611940298508,138,0.7101449275362319
MGR_MOD_CARD_COWARD_ROCKET,CowardRocket,胆小鬼火箭,Common,Skill,1775,292,0.1645070422535211,260,179,0.6884615384615385,668,0.718562874251497,-0.03010133578995855,13.0,307,0.6742671009771987,653,114,0.17457886676875958,99,0.696969696969697
MGR_MOD_CARD_FADE,Fade,褪色,Common,Skill,1844,197,0.10683297180043384,177,142,0.8022598870056498,782,0.6726342710997443,0.1296256159059055,13,222,0.7702702702702703,682,79,0.1158357771260997,70,0.8571428571428571
MGR_MOD_CARD_MAGURO_STRIKE,MaguroStrike,金枪鱼打击,Common,Attack,1728,239,0.13831018518518517,217,140,0.6451612903225806,702,0.7250712250712251,-0.0799099347486445,12,257,0.6614785992217899,663,98,0.1478129713423831,86,0.6046511627906976
MGR_MOD_CARD_MAGURO_CLEAVE,MaguroCleave,金枪鱼横斩,Common,Attack,1788,243,0.13590604026845637,217,148,0.6820276497695853,733,0.7121418826739427,-0.03011423290435744,13,268,0.6716417910447762,664,88,0.13253012048192772,78,0.6923076923076923
MGR_MOD_CARD_LONG_DREAM,LongDream,长梦,Common,Skill,1869,217,0.11610486891385768,208,129,0.6201923076923077,747,0.7095046854082999,-0.08931237771599221,8,246,0.6300813008130082,686,69,0.10058309037900874,66,0.6060606060606061
MGR_MOD_CARD_NOTE_MAGIC,NoteMagic,音符魔法,Common,Skill,1775,256,0.14422535211267606,231,157,0.6796536796536796,692,0.6921965317919075,-0.012542852138227922,14.0,273,0.6703296703296703,632,86,0.1360759493670886,80,0.75
MGR_MOD_CARD_REHEARSAL,Rehearsal,预演,Common,Skill,1744,582,0.33371559633027525,466,351,0.7532188841201717,449,0.6547884187082406,0.09843046541193112,16.5,558,0.7383512544802867,644,214,0.33229813664596275,170,0.7647058823529411
MGR_MOD_CARD_ADIOS,Adios,Adios,Rare,Attack,408,180,0.4411764705882353,170,135,0.7941176470588235,166,0.8554216867469879,-0.06130403968816445,17.0,218,0.7981651376146789,149,69,0.46308724832214765,65,0.7692307692307693
MGR_MOD_CARD_BIRD,Bird,「 鳥 」,Rare,Attack,375,168,0.448,165,146,0.8848484848484849,155,0.8129032258064516,0.0719452590420333,17.0,227,0.8502202643171806,131,69,0.5267175572519084,68,0.8382352941176471
MGR_MOD_CARD_OTOME_DISSECTION,OtomeDissection,乙女解剖,Rare,Skill,410,87,0.2121951219512195,86,67,0.7790697674418605,253,0.8379446640316206,-0.058874896589760084,17,119,0.7647058823529411,162,37,0.22839506172839505,37,0.6756756756756757
MGR_MOD_CARD_RESONATE,Resonate,令其响彻,Rare,Skill,410,184,0.44878048780487806,176,142,0.8068181818181818,171,0.8362573099415205,-0.02943912812333871,24.5,219,0.7990867579908676,156,70,0.44871794871794873,66,0.7878787878787878
MGR_MOD_CARD_LIGHT_SONG,LightSong,光线歌,Rare,Skill,382,62,0.16230366492146597,62,44,0.7096774193548387,258,0.8372093023255814,-0.1275318829707427,16.5,81,0.6666666666666666,149,27,0.18120805369127516,27,0.7037037037037037
MGR_MOD_CARD_CANON_FORM,CanonForm,卡农形态,Rare,Power,410,200,0.4878048780487805,191,149,0.7801047120418848,152,0.8092105263157895,-0.029105814273904684,17.0,218,0.7706422018348624,143,79,0.5524475524475524,77,0.7532467532467533
MGR_MOD_CARD_SATELLITE_GIRL,SatelliteGirl,卫星少女,Rare,Power,423,231,0.5460992907801419,216,179,0.8287037037037037,132,0.7878787878787878,0.040824915824915875,17,268,0.8283582089552238,158,80,0.5063291139240507,75,0.84
MGR_MOD_CARD_FLAWED_GIRL,FlawedGirl,失败作少女,Rare,Skill,401,203,0.5062344139650873,187,148,0.7914438502673797,141,0.8156028368794326,-0.024158986612052846,24,246,0.7682926829268293,153,76,0.49673202614379086,72,0.8194444444444444
MGR_MOD_CARD_HIGAN,Higan,彼岸,Rare,Power,410,98,0.23902439024390243,95,60,0.631578947368421,248,0.8225806451612904,-0.19100169779286935,17.0,89,0.5842696629213483,168,40,0.23809523809523808,39,0.6666666666666666
MGR_MOD_CARD_PLEASING_GHOSTS,PleasingGhosts,拍鬼怪的马屁,Rare,Skill,382,90,0.2356020942408377,89,66,0.7415730337078652,222,0.8018018018018018,-0.060228768093936624,22.5,124,0.7096774193548387,135,32,0.23703703703703705,32,0.75
MGR_MOD_CARD_EAST_OF_TIMELINE,EastOfTimeline,时间线之东,Rare,Attack,377,143,0.3793103448275862,142,106,0.7464788732394366,186,0.8709677419354839,-0.12448886869604725,17,207,0.714975845410628,128,45,0.3515625,44,0.7954545454545454
