id,name,source,rarity,acquired_runs,wins,win_rate,ci_low,ci_high,baseline_delta,median_floor,rarity_rank,rarity_pool,a0_runs,a0_wins,a0_win_rate,a0_rarity_rank,a0_rarity_pool,a10_runs,a10_wins,a10_win_rate,a10_rarity_rank,a10_rarity_pool
ECTOPLASM,灵体外质,原版,Ancient,1,1,1.0,0.20654931437723745,1.0,0.43062720608199834,34,,,1,1,1.0,,,0,0,,,
BLESSED_ANTLER,赐福鹿角,原版,Ancient,67,64,0.9552238805970149,0.8764216691090624,0.9846560248779613,0.38585108667901324,34,,,22,21,0.9545454545454546,,,7,6,0.8571428571428571,,
SIGNET_RING,图章戒指,原版,Ancient,110,105,0.9545454545454546,0.8979840649336309,0.9804305393407652,0.3851726606274529,34.0,,,37,35,0.9459459459459459,,,20,19,0.95,,
MUSIC_BOX,音乐盒,原版,Ancient,61,58,0.9508196721311475,0.8650887247278409,0.9831340173312375,0.3814468782131458,34,,,20,19,0.95,,,12,11,0.9166666666666666,,
IRON_CLUB,铁棒,原版,Ancient,97,92,0.9484536082474226,0.8849564458853718,0.9777839489624893,0.379080814329421,34,,,26,24,0.9230769230769231,,,24,24,1.0,,
FUR_COAT,皮草大衣,原版,Ancient,47,44,0.9361702127659575,0.8283738581687556,0.9780546147945668,0.3667974188479558,34,,,11,11,1.0,,,7,7,1.0,,
BEAUTIFUL_BRACELET,华美手镯,原版,Ancient,60,56,0.9333333333333333,0.8407464268680283,0.9737713012754938,0.3639605394153317,34.0,,,23,21,0.9130434782608695,,,15,14,0.9333333333333333,,
DELICATE_FROND,娇嫩蕨草,原版,Ancient,43,40,0.9302325581395349,0.8139101309875801,0.9759884104227855,0.3608597642215332,34,,,24,24,1.0,,,3,2,0.6666666666666666,,
PRESERVED_FOG,腌制活雾,原版,Ancient,100,93,0.93,0.8625048526092651,0.9656807389327273,0.3606272060819984,34.0,,,37,34,0.918918918918919,,,16,15,0.9375,,
ARCHAIC_TOOTH,古老牙齿,原版,Ancient,299,278,0.9297658862876255,0.8950219902160961,0.9536068633127206,0.3603930923696238,18.0,,,113,100,0.8849557522123894,,,64,61,0.953125,,
PHILOSOPHERS_STONE,贤者之石,原版,Ancient,28,26,0.9285714285714286,0.7735463743160095,0.9801879358846942,0.35919863465342694,18.0,,,13,13,1.0,,,7,6,0.8571428571428571,,
TRI_BOOMERANG,三刃回旋镖,原版,Ancient,96,88,0.9166666666666666,0.8441009676029043,0.9571693758490329,0.34729387274866497,34.0,,,37,33,0.8918918918918919,,,16,14,0.875,,
SPIKED_GAUNTLETS,带刺手甲,原版,Ancient,24,22,0.9166666666666666,0.741511978067893,0.9768411847029567,0.34729387274866497,34.0,,,8,7,0.875,,,5,5,1.0,,
LOOMING_FRUIT,布质果实,原版,Ancient,91,83,0.9120879120879121,0.8360136111636226,0.954779792191696,0.3427151181699104,34,,,29,26,0.896551724137931,,,20,17,0.85,,
SERE_TALON,原初之爪,原版,Ancient,56,51,0.9107142857142857,0.8074399861448884,0.9612578515504131,0.34134149179628404,34.0,,,17,14,0.8235294117647058,,,17,17,1.0,,
GLITTER,亮片,原版,Ancient,121,110,0.9090909090909091,0.8445270273318659,0.9484787652565609,0.3397181151729074,34,,,39,33,0.8461538461538461,,,22,19,0.8636363636363636,,
JEWELED_MASK,宝石面具,原版,Ancient,128,116,0.90625,0.8432700274269215,0.945556195600853,0.33687720608199834,34.0,,,49,45,0.9183673469387755,,,23,16,0.6956521739130435,,
SAI,钗,原版,Ancient,85,77,0.9058823529411765,0.8251294803137523,0.9515349387077823,0.3365095590231748,34,,,34,30,0.8823529411764706,,,13,13,1.0,,
DISTINGUISHED_CAPE,卓越斗篷,原版,Ancient,58,52,0.896551724137931,0.7921189700751577,0.951718592576371,0.3271789302199294,34.0,,,21,17,0.8095238095238095,,,7,7,1.0,,
BLOOD_SOAKED_ROSE,血染玫瑰,原版,Ancient,38,34,0.8947368421052632,0.7586947827711269,0.9582974265244647,0.3253640481872615,34.0,,,15,14,0.9333333333333333,,,7,5,0.7142857142857143,,
RUNIC_PYRAMID,符文金字塔,原版,Ancient,28,25,0.8928571428571429,0.7280414845132785,0.9628816331707,0.32348434893914124,18.0,,,8,6,0.75,,,7,6,0.8571428571428571,,
THROWING_AXE,投斧,原版,Ancient,81,72,0.8888888888888888,0.8021290531846268,0.9404324359234946,0.3195160949708872,34,,,27,21,0.7777777777777778,,,15,14,0.9333333333333333,,
DRIFTWOOD,浮木,原版,Ancient,18,16,0.8888888888888888,0.672002348698212,0.9689804773543876,0.3195160949708872,18.0,,,9,7,0.7777777777777778,,,4,4,1.0,,
SEAL_OF_GOLD,黄金印,原版,Ancient,35,31,0.8857142857142857,0.7404853135378618,0.9546482066690264,0.316341491796284,18,,,16,13,0.8125,,,8,7,0.875,,
CLAWS,利爪,原版,Ancient,25,22,0.88,0.7004420607907267,0.9583318284955964,0.31062720608199834,34,,,10,9,0.9,,,5,4,0.8,,
TOASTY_MITTENS,烘焙手套,原版,Ancient,49,43,0.8775510204081632,0.7575560270624347,0.9426517420975983,0.3081782264901616,18,,,8,7,0.875,,,13,10,0.7692307692307693,,
DIAMOND_DIADEM,钻石头冠,原版,Ancient,49,43,0.8775510204081632,0.7575560270624347,0.9426517420975983,0.3081782264901616,34,,,17,14,0.8235294117647058,,,11,9,0.8181818181818182,,
LORDS_PARASOL,领主阳伞,原版,Ancient,31,27,0.8709677419354839,0.7114759374369357,0.9486571562537085,0.3015949480174822,34,,,13,10,0.7692307692307693,,,3,3,1.0,,
TOUCH_OF_OROBAS,欧洛巴斯之触,原版,Ancient,270,235,0.8703703703703703,0.8250535018354868,0.9052960984818121,0.3009975764523687,18.0,,,100,87,0.87,,,52,42,0.8076923076923077,,
WAR_HAMMER,战锤,原版,Ancient,61,53,0.8688524590163934,0.7619811980700654,0.932019227250999,0.29947966509839175,34,,,18,14,0.7777777777777778,,,11,10,0.9090909090909091,,
TOY_BOX,玩具盒,原版,Ancient,43,37,0.8604651162790697,0.7273641203261714,0.9344427657203511,0.2910923223610681,18,,,16,13,0.8125,,,12,11,0.9166666666666666,,
CHOICES_PARADOX,选择悖论,原版,Ancient,78,67,0.8589743589743589,0.7648602182063984,0.9193895594361288,0.28960156505635726,34.0,,,25,19,0.76,,,16,15,0.9375,,
SEA_GLASS,海玻璃,原版,Ancient,7,6,0.8571428571428571,0.4868721707256811,0.9743203756552565,0.28777006322485543,18,,,2,1,0.5,,,3,3,1.0,,
